1.0,1.0,-1.4,1.0,0,0,None,3.026444027095179,-0.0019618738515927935,-0.7482507112802842
1.0,1.0,-1.4,1.0,0,0,None,3.100000000000001,0.0,0.0
1.0,1.0,-1.4,1.0,0,0,None,3.023684306728021,-0.002894031399066079,-0.7942907221692489
1.0,1.0,-1.4,1.0,0,0,1,3.023684306728021,-0.002894031399066079,-0.7942907221692489
1.0,1.0,-1.4,1.0,0,0,1,3.023684306728021,-0.002894031399066079,-0.7942907221692489
1.0,1.0,-1.4,1.0,0,0,1,1.558222813508872,-0.011162271521003703,0.017427742048677558
1.0,1.0,-1.4,1.0,0,0,1,1.4106148037771917,-0.0063307418245737625,0.055644728064267686
1.0,1.0,-1.4,1.0,0,0,1,2.8092942015697924,-0.007251933880589564,0.9595255003771325
1.0,1.0,-1.4,1.0,0,0,1,3.149046957037157,-0.02321564037440813,-0.8862390978782029
1.0,1.0,-1.4,1.0,0,0,1,0.26994916013979847,-0.0020802353138812723,-0.6681070838942833
1.0,1.0,-1.4,1.0,0,0,1,3.021064848301397,-0.0021353149718870918,-0.8565599283854858
1.0,1.0,-1.4,1.0,0,0,1,1.3314613435482479,-0.00104482822369575,0.11139549849245464
1.0,1.0,-1.4,1.0,0,0,1,0.901930366652615,-0.00164809373880466,-0.5150047765827934
