PARTICLE_QKE,PLATE_L,PLATE_GAP,PLATE_V,SUCCESS_METRIC
0.5,1.5,1.0,0.0,1.600000000000001
0.5,1.5,1.0,0.5,-0.8264946568156849
0.5,1.5,1.0,0.25,-1.0919604428996683
0.5,1.5,1.0,0.07785363349766744,1.4925228274537163
0.5,1.5,1.0,0.16392681674883372,-1.1270785082093122
0.5,1.5,1.0,0.10696066196920151,-0.9759256429596526
0.5,1.75,1.0,0.0,1.600000000000001
0.5,1.75,1.0,0.5,-0.8272113136341197
0.5,1.75,1.0,0.25,-0.5786078435866342
0.5,1.75,1.0,0.13767162319380533,-1.1287538642045933
0.5,1.75,1.0,0.06883581159690266,1.4956267612983143
0.5,1.75,1.0,0.11267162319380526,-1.626831592310566
0.5,1.5,1.25,0.0,1.600000000000001
0.5,1.5,1.25,0.5,-0.5579598207926255
0.5,1.5,1.25,0.25,-0.38975599506212566
0.5,1.5,1.25,0.15466588168047762,-1.1336708278376648
0.5,1.5,1.25,0.07733294084023881,1.5219876641775723
0.5,1.5,1.25,0.12966588168047755,-1.2470980788973496
0.5,1.5,1.25,0.10349941126035818,-0.7718884657119852
0.5,1.5,1.25,0.10233294084023888,-0.7539256301233419
0.5,1.5,1.0,0.0,1.600000000000001
0.5,1.5,1.0,0.5,-0.8264946568156849
0.5,1.5,1.0,0.25,-1.0919604428996683
0.5,1.5,1.0,0.07785363349766744,1.4925228274537163
0.5,1.5,1.0,0.16392681674883372,-1.1270785082093122
0.5,1.5,1.0,0.10696066196920151,-0.9759256429596526
